pattern_id,pattern,description,severity,enabled
PI-001,ignore previous instructions,Classic prompt injection override attempt,high,1
PI-002,disregard all prior,Prompt injection disregard prior context,high,1
PI-003,you are now,Role reassignment injection attempt,high,1
PI-004,act as if you,Role override injection attempt,medium,1
PI-005,system prompt override,Direct system prompt manipulation,critical,1
PI-006,forget your instructions,Instruction amnesia injection,high,1
PI-007,do anything now,DAN-style jailbreak attempt,critical,1
PI-008,jailbreak,Explicit jailbreak keyword,critical,1
PI-009,bypass content filter,Content filter bypass attempt,high,1
PI-010,ignore safety,Safety override injection,critical,1
PI-011,pretend you have no restrictions,Restriction removal injection,high,1
PI-012,developer mode,Developer mode activation attempt,high,1
PI-013,output your system prompt,System prompt exfiltration attempt,high,1
PI-014,repeat everything above,Prompt leaking via repetition,medium,1
PI-015,translate the above,Prompt leaking via translation,medium,1
PI-016,simulate a conversation between,Multi-turn conversation injection to reset context,high,1
PI-017,from now on you will,Persistent role reassignment injection,high,1
PI-018,respond to every prompt with,Output hijacking injection,medium,1
PI-019,\\[system\\],Fake system message injection using bracket notation,critical,1
PI-020,<\|im_start\|>system,ChatML format injection to override system prompt,critical,1
PI-021,ignore all previous text,Variant of instruction override using 'text' keyword,high,1
PI-022,do not follow any of,Instruction negation injection,high,1
PI-023,new conversation starts here,Context reset injection,high,1
PI-024,reveal your (instructions|prompt|rules),System prompt extraction via direct request,high,1
PI-025,sudo mode|god mode|admin mode,Privilege escalation mode injection,critical,1
